sample_id,token_count,path_count,unique_colors,has_gradient,has_css_class,has_js,has_defs,valid_xml
yd-vector-000000.tar::1000077.svg,453,1,0,False,False,False,False,True
yd-vector-000000.tar::1000078.svg,532,1,0,False,False,False,False,True
yd-vector-000000.tar::1000079.svg,209,1,0,False,False,False,False,True
yd-vector-000000.tar::100008.svg,568,4,5,False,False,False,False,True
yd-vector-000000.tar::1000080.svg,296,1,1,False,False,False,False,True
yd-vector-000000.tar::1000081.svg,760,1,2,False,False,False,False,True
yd-vector-000000.tar::1000082.svg,213,1,0,False,False,False,False,True
yd-vector-000000.tar::1000083.svg,121,1,0,False,False,False,False,True
yd-vector-000000.tar::1000084.svg,459,2,3,False,False,False,False,True
yd-vector-000000.tar::1000085.svg,527,1,0,False,False,False,False,True
yd-vector-000000.tar::1000086.svg,838,4,1,False,False,False,False,True
yd-vector-000000.tar::1000087.svg,3927,27,16,False,False,False,False,True
yd-vector-000000.tar::1000088.svg,3759,13,4,True,False,False,True,True
yd-vector-000000.tar::1000089.svg,1309,7,5,False,False,False,True,True
yd-vector-000000.tar::100009.svg,127,1,0,False,False,False,False,True
yd-vector-000000.tar::1000090.svg,2326,9,2,False,True,False,False,True
yd-vector-000000.tar::1000091.svg,321,3,0,False,False,False,False,True
yd-vector-000000.tar::1000092.svg,4335,27,16,False,False,False,False,True
yd-vector-000000.tar::1000093.svg,968,2,4,False,True,False,False,True
yd-vector-000000.tar::1000094.svg,280,1,2,False,False,False,False,True
yd-vector-000000.tar::1000095.svg,3262,4,4,False,False,False,True,True
yd-vector-000000.tar::1000096.svg,1365,4,3,False,False,False,True,True
yd-vector-000000.tar::1000097.svg,520,1,0,False,False,False,False,True
yd-vector-000000.tar::1000098.svg,211,2,0,False,False,False,False,True
yd-vector-000000.tar::1000099.svg,1021,3,1,False,False,False,True,True
yd-vector-000000.tar::10001.svg,120,1,0,False,False,False,False,True
yd-vector-000000.tar::100010.svg,1584,3,1,False,True,False,False,True
yd-vector-000000.tar::1000100.svg,209,1,0,False,False,False,False,True
yd-vector-000000.tar::1000101.svg,3842,4,3,False,False,False,True,True
yd-vector-000000.tar::1000102.svg,465,1,1,False,False,False,False,True
yd-vector-000000.tar::1000103.svg,1845,6,3,True,True,False,False,True
yd-vector-000000.tar::1000104.svg,248,2,1,False,False,False,False,True
yd-vector-000000.tar::1000105.svg,748,1,1,False,False,False,False,True
yd-vector-000000.tar::1000106.svg,912,2,2,False,False,False,False,True
yd-vector-000000.tar::1000107.svg,470,5,1,False,True,False,True,True
yd-vector-000000.tar::1000108.svg,601,4,1,False,False,False,False,True
yd-vector-000000.tar::1000109.svg,343,1,0,False,False,False,False,True
yd-vector-000000.tar::100011.svg,548,4,0,False,False,False,False,True
yd-vector-000000.tar::1000110.svg,389,1,0,False,False,False,False,True
yd-vector-000000.tar::1000111.svg,2116,13,7,False,False,False,True,True
yd-vector-000000.tar::1000112.svg,476,4,1,False,False,False,False,True
yd-vector-000000.tar::1000113.svg,389,2,1,False,False,False,False,True
yd-vector-000000.tar::1000114.svg,5230,18,5,False,True,False,False,True
yd-vector-000000.tar::1000115.svg,1710,2,1,False,False,False,False,True
yd-vector-000000.tar::1000116.svg,350,1,1,False,False,False,False,True
yd-vector-000000.tar::1000117.svg,390,2,1,False,False,False,False,True
yd-vector-000000.tar::1000118.svg,131,2,2,False,True,False,False,True
yd-vector-000000.tar::1000119.svg,209,1,1,False,False,False,False,True
yd-vector-000000.tar::100012.svg,767,4,2,True,False,False,True,True
yd-vector-000000.tar::1000120.svg,481,1,0,False,False,False,False,True
yd-vector-000000.tar::1000121.svg,422,1,0,False,False,False,False,True
yd-vector-000000.tar::1000122.svg,250,1,0,False,False,False,False,True
yd-vector-000000.tar::1000123.svg,951,3,3,False,False,False,False,True
yd-vector-000000.tar::1000124.svg,937,1,1,False,True,False,True,True
yd-vector-000000.tar::1000125.svg,145,0,1,False,False,False,False,True
yd-vector-000000.tar::1000126.svg,2652,3,3,False,False,False,False,True
yd-vector-000000.tar::1000127.svg,254,1,0,False,True,False,True,True
yd-vector-000000.tar::1000128.svg,101,1,2,False,False,False,False,True
yd-vector-000000.tar::1000129.svg,892,2,4,False,True,False,False,True
yd-vector-000000.tar::100013.svg,1304,1,2,False,False,False,True,True
yd-vector-000000.tar::1000130.svg,1682,4,4,False,True,False,False,True
yd-vector-000000.tar::1000131.svg,313,1,0,False,False,False,False,True
yd-vector-000000.tar::1000132.svg,4061,27,16,False,False,False,False,True
yd-vector-000000.tar::1000133.svg,650,1,0,False,False,False,False,True
yd-vector-000000.tar::1000134.svg,5925,0,5,False,True,False,True,True
yd-vector-000000.tar::1000135.svg,598,6,5,False,False,False,False,True
yd-vector-000000.tar::1000136.svg,1118,1,1,False,False,False,True,True
yd-vector-000000.tar::1000137.svg,3063,22,4,False,False,False,False,True
yd-vector-000000.tar::1000138.svg,567,1,1,False,False,False,True,True
yd-vector-000000.tar::1000139.svg,261,1,2,False,False,False,False,True
yd-vector-000000.tar::100014.svg,444,3,0,False,False,False,False,True
yd-vector-000000.tar::1000140.svg,344,1,1,False,False,False,False,True
yd-vector-000000.tar::1000141.svg,712,2,3,False,True,False,True,True
yd-vector-000000.tar::1000142.svg,679,1,0,False,False,False,False,True
yd-vector-000000.tar::1000143.svg,583,1,0,False,False,False,False,True
yd-vector-000000.tar::1000144.svg,882,3,3,False,False,False,True,True
yd-vector-000000.tar::1000145.svg,570,11,7,False,False,False,False,True
yd-vector-000000.tar::1000146.svg,2890,13,7,False,False,False,True,True
yd-vector-000000.tar::1000147.svg,1226,7,2,False,True,False,True,True
yd-vector-000000.tar::1000148.svg,3433,17,5,False,True,False,True,True
yd-vector-000000.tar::1000149.svg,373,1,0,False,True,False,True,True
yd-vector-000000.tar::100015.svg,598,2,1,False,True,False,True,True
yd-vector-000000.tar::1000150.svg,73,1,0,False,False,False,False,True
yd-vector-000000.tar::1000151.svg,401,1,0,False,False,False,False,True
yd-vector-000000.tar::1000152.svg,3476,23,1,False,True,False,True,True
yd-vector-000000.tar::1000153.svg,85,1,1,False,False,False,False,True
yd-vector-000000.tar::1000154.svg,62,2,0,False,False,False,False,True
yd-vector-000000.tar::1000155.svg,640,14,3,False,False,False,False,True
yd-vector-000000.tar::1000156.svg,1109,2,1,False,False,False,False,True
yd-vector-000000.tar::1000157.svg,137,0,1,False,True,False,True,True
yd-vector-000000.tar::1000158.svg,1124,5,3,False,False,False,False,True
yd-vector-000000.tar::1000159.svg,2251,7,5,False,True,False,False,True
yd-vector-000000.tar::100016.svg,478,2,1,False,False,False,False,True
yd-vector-000000.tar::1000160.svg,1790,6,3,False,False,False,False,True
yd-vector-000000.tar::1000161.svg,78,1,1,False,False,False,False,True
yd-vector-000000.tar::1000162.svg,2072,15,10,False,False,False,False,True
yd-vector-000000.tar::1000163.svg,3277,0,1,False,False,False,False,True
yd-vector-000000.tar::1000164.svg,2870,2,0,False,True,False,True,True
yd-vector-000000.tar::1000165.svg,79,0,1,False,False,False,False,True
yd-vector-000000.tar::1000166.svg,77,1,1,False,False,False,False,True
yd-vector-000000.tar::1000167.svg,604,1,1,False,False,False,False,True
yd-vector-000000.tar::1000168.svg,269,1,1,False,False,False,False,True
yd-vector-000000.tar::1000169.svg,291,1,2,False,False,False,False,True
yd-vector-000000.tar::100017.svg,730,5,5,False,False,False,False,True
yd-vector-000000.tar::1000170.svg,214,1,1,False,False,False,False,True
yd-vector-000000.tar::1000171.svg,761,1,1,False,False,False,False,True
yd-vector-000000.tar::1000172.svg,120,1,1,False,False,False,False,True
yd-vector-000000.tar::1000173.svg,757,1,2,False,False,False,True,True
yd-vector-000000.tar::1000174.svg,625,1,0,False,False,False,False,True
yd-vector-000000.tar::1000175.svg,293,1,0,False,False,False,False,True
yd-vector-000000.tar::1000176.svg,343,1,2,False,True,False,False,True
yd-vector-000000.tar::1000177.svg,568,3,4,False,True,False,True,True
yd-vector-000000.tar::1000178.svg,481,1,1,False,True,False,False,True
yd-vector-000000.tar::1000179.svg,1205,5,0,False,False,False,False,True
yd-vector-000000.tar::100018.svg,1387,2,1,False,False,False,True,True
yd-vector-000000.tar::1000180.svg,3435,21,3,False,False,False,True,True
yd-vector-000000.tar::1000181.svg,630,7,4,False,False,False,False,True
yd-vector-000000.tar::1000182.svg,143,1,2,False,False,False,False,True
yd-vector-000000.tar::1000183.svg,1731,17,2,False,False,False,True,True
yd-vector-000000.tar::1000184.svg,502,0,3,False,True,False,False,True
yd-vector-000000.tar::1000185.svg,3094,24,1,False,False,False,False,True
yd-vector-000000.tar::1000186.svg,300,1,0,False,False,False,False,True
yd-vector-000000.tar::1000187.svg,2956,2,1,False,False,False,True,True
yd-vector-000000.tar::1000188.svg,62,0,1,False,False,False,False,True
yd-vector-000000.tar::1000189.svg,1749,2,1,False,False,False,False,True
yd-vector-000000.tar::100019.svg,348,1,1,False,False,False,False,True
yd-vector-000000.tar::1000190.svg,650,6,2,False,False,False,False,True
yd-vector-000000.tar::1000191.svg,2148,15,10,False,False,False,False,True
yd-vector-000000.tar::1000192.svg,77,1,1,False,False,False,False,True
yd-vector-000000.tar::1000193.svg,1108,12,4,False,False,False,False,True
yd-vector-000000.tar::1000194.svg,2469,13,5,False,True,False,True,True
yd-vector-000000.tar::1000195.svg,91,1,0,False,False,False,False,True
